ID,Reference,Nsite,Nyears
1,"Adamek et al, 2011",1,2
2,"Allard et al,2006",1,1
3,"Bardgett et al,1999",4,1
4,"Bradford et al, 2008",1,1
5,"Brenner et al, 2005",2,5
6,"Burton et al, 2004",4,7
7,"Burton et al, 2012",1,11
8,"Cheng et al, 2009",1,1
9,"Cleveland and Townsend,2006",1,3
10,"Cusack et al,2011",2,5
11,"Deng et al,2010",1,3
12,"Drake et al, 2008",1,1
13,"Gamper et al, 2004",2,5
14,"Hasselquist et al,2012",1,5
15,"He et al,2013",1,6
16,"Hungate et al, 2007",1,2
17,"Jia et al, 2010",2,5
18,"Jiang et al, 2014",1,2
19,"Johnson et al, 2005",1,2
20,"Lamb et al,2007",1,1
21,"Lee and Jose, 2003",2,8
22,"Liu et al, 2011",1,2
23,"Lu et al, 2011 ",1,1
24,"Magill et al, 2004",2,13
25,"Maier and Kress,2000",1,3
26,"Majdi H, 2007",1,2
27,"Mei et al,2010",2,1
28,"Mikan et al, 2000",1,2
29,"Mo et al, 2008",1,1
30,"Mo et al, 2008",1,2
31,"Noguchi et al, 2013",1,3
32,"Noguchi et al, 2013",1,2
33,"Ochoa-Hueso et al,2013",2,2
34,"Palatova E, 2002",1,2
35,"Persson, H. and K. Ahlstrom,1990",5,7
36,"Pregitzer et al, 1995",1,1
37,"Thomsen et al,2006",7,1
38,"Tu et al, 2011",1,2
39,"Tu et al, 2013",1,2
40,"Verburg et al,2004",1,1
41,"Vose et al,1995",1,1
42,"Wang et al, 2012",1,1
43,"Wang et al, 2012",1,2
44,"Wang et al, 2013",1,3
45,"Wei et al, 2013",1,3
46,"Yan et al, 2010",1,1
47,"Zhao and Liu, 2009",1,1
48,"Zhu et al,2013",3,5
49,"D'Antonio and Mack, 2006",1,1
50,"Nilsson and Wallander,2003",1,1
51,"Zhang et al,2014",1,2
52,"Gao et al,2014",1,1
53,"Fan et al,2014",1,8
54,"Du et al, 2014",1,1
